video,scenario,metric,color_space,window,precision,recall,f1,tp,fp,fn,tn,threshold
normal-change\normal-change.mp4,normal-change,HISTCMP_CHISQR,HSV,1,0.2631578947368421,0.9090909090909091,0.40816326530612246,10,28,1,11,0.0007225265424903927
normal-change\normal-change.mp4,normal-change,HISTCMP_CHISQR,HSV,3,0.34782608695652173,0.7272727272727273,0.47058823529411764,8,15,3,24,0.0007225265424903927
normal-change\normal-change.mp4,normal-change,HISTCMP_CHISQR,HSV,5,0.7272727272727273,0.7272727272727273,0.7272727272727273,8,3,3,36,0.0007225265424903927
normal-change\normal-change.mp4,normal-change,HISTCMP_CHISQR,RGB,1,0.2727272727272727,0.8181818181818182,0.4090909090909091,9,24,2,15,0.0009064387659578262
normal-change\normal-change.mp4,normal-change,HISTCMP_CHISQR,RGB,3,0.3055555555555556,1.0,0.46808510638297873,11,25,0,14,0.0006385553974072682
normal-change\normal-change.mp4,normal-change,HISTCMP_CHISQR,RGB,5,0.3793103448275862,1.0,0.55,11,18,0,21,0.0006385553974072682
normal-change\normal-change.mp4,normal-change,HISTCMP_BHATTACHARYYA,GRAY,1,0.47058823529411764,0.7272727272727273,0.5714285714285714,8,9,3,30,0.010394761598871762
normal-change\normal-change.mp4,normal-change,HISTCMP_BHATTACHARYYA,GRAY,3,0.8571428571428571,0.5454545454545454,0.6666666666666666,6,1,5,38,0.010394761598871762
normal-change\normal-change.mp4,normal-change,HISTCMP_BHATTACHARYYA,GRAY,5,0.875,0.6363636363636364,0.7368421052631579,7,1,4,38,0.008987375998754415
normal-change\normal-change.mp4,normal-change,HISTCMP_BHATTACHARYYA,HSV,1,0.2857142857142857,0.7272727272727273,0.41025641025641024,8,20,3,19,0.00996172066277139
normal-change\normal-change.mp4,normal-change,HISTCMP_BHATTACHARYYA,HSV,3,0.5,0.36363636363636365,0.42105263157894735,4,4,7,35,0.00996172066277139
normal-change\normal-change.mp4,normal-change,HISTCMP_BHATTACHARYYA,HSV,5,0.4117647058823529,0.6363636363636364,0.5,7,10,4,29,0.008696777180439515
normal-change\normal-change.mp4,normal-change,HISTCMP_BHATTACHARYYA,RGB,1,0.38095238095238093,0.7272727272727273,0.5,8,13,3,26,0.006618580419510771
normal-change\normal-change.mp4,normal-change,HISTCMP_BHATTACHARYYA,RGB,3,0.5,0.36363636363636365,0.42105263157894735,4,4,7,35,0.006618580419510771
normal-change\normal-change.mp4,normal-change,HISTCMP_BHATTACHARYYA,RGB,5,0.3225806451612903,0.9090909090909091,0.47619047619047616,10,21,1,18,0.005375899860510948
normal-change\normal-change.mp4,normal-change,HISTCMP_INTERSECT,GRAY,1,0.6153846153846154,0.7272727272727273,0.6666666666666666,8,5,3,34,-0.7461170963870245
normal-change\normal-change.mp4,normal-change,HISTCMP_INTERSECT,GRAY,3,0.875,0.6363636363636364,0.7368421052631579,7,1,4,38,-0.7461170963870245
normal-change\normal-change.mp4,normal-change,HISTCMP_INTERSECT,GRAY,5,0.8333333333333334,0.9090909090909091,0.8695652173913043,10,2,1,37,-0.7476657243314548
normal-change\normal-change.mp4,normal-change,HISTCMP_INTERSECT,HSV,1,0.8333333333333334,0.45454545454545453,0.5882352941176471,5,1,6,38,-0.6122781113826932
normal-change\normal-change.mp4,normal-change,HISTCMP_INTERSECT,HSV,3,0.8,0.36363636363636365,0.5,4,1,7,38,-0.6326003571502952
normal-change\normal-change.mp4,normal-change,HISTCMP_INTERSECT,HSV,5,0.2391304347826087,1.0,0.38596491228070173,11,35,0,4,-0.6858957015992928
normal-change\normal-change.mp4,normal-change,HISTCMP_INTERSECT,RGB,1,0.8333333333333334,0.45454545454545453,0.5882352941176471,5,1,6,38,-3.9060618033163337
normal-change\normal-change.mp4,normal-change,HISTCMP_INTERSECT,RGB,3,0.8,0.36363636363636365,0.5,4,1,7,38,-3.999125664948224
normal-change\normal-change.mp4,normal-change,HISTCMP_INTERSECT,RGB,5,0.29411764705882354,0.9090909090909091,0.4444444444444444,10,24,1,15,-4.016541276669159
rolling-shutter\rolling-shutter.mp4,rolling-shutter,HISTCMP_CORREL,GRAY,1,0.42857142857142855,0.5454545454545454,0.48,6,8,5,31,0.0005538422139066412
rolling-shutter\rolling-shutter.mp4,rolling-shutter,HISTCMP_CORREL,GRAY,3,0.5,0.6363636363636364,0.56,7,7,4,32,0.00010143448866417604
rolling-shutter\rolling-shutter.mp4,rolling-shutter,HISTCMP_CORREL,GRAY,5,0.7142857142857143,0.45454545454545453,0.5555555555555556,5,2,6,37,0.00010143448866417604
rolling-shutter\rolling-shutter.mp4,rolling-shutter,HISTCMP_CORREL,HSV,1,0.23404255319148937,1.0,0.3793103448275862,11,36,0,3,7.716912000377274e-05
rolling-shutter\rolling-shutter.mp4,rolling-shutter,HISTCMP_CORREL,HSV,3,0.35,0.6363636363636364,0.45161290322580644,7,13,4,26,0.0002367865585600759
rolling-shutter\rolling-shutter.mp4,rolling-shutter,HISTCMP_CORREL,HSV,5,0.5555555555555556,0.45454545454545453,0.5,5,4,6,35,0.0002367865585600759
rolling-shutter\rolling-shutter.mp4,rolling-shutter,HISTCMP_CORREL,RGB,1,0.24390243902439024,0.9090909090909091,0.38461538461538464,10,31,1,8,0.00013121255325265757
rolling-shutter\rolling-shutter.mp4,rolling-shutter,HISTCMP_CORREL,RGB,3,0.23404255319148937,1.0,0.3793103448275862,11,36,0,3,2.5307712521849268e-05
rolling-shutter\rolling-shutter.mp4,rolling-shutter,HISTCMP_CORREL,RGB,5,0.24444444444444444,1.0,0.39285714285714285,11,34,0,5,2.5307712521849268e-05
rolling-shutter\rolling-shutter.mp4,rolling-shutter,HISTCMP_CHISQR,GRAY,1,0.32,0.7272727272727273,0.4444444444444444,8,17,3,22,0.041475378625050796
rolling-shutter\rolling-shutter.mp4,rolling-shutter,HISTCMP_CHISQR,GRAY,3,0.625,0.9090909090909091,0.7407407407407407,10,6,1,33,0.010019606096556714
rolling-shutter\rolling-shutter.mp4,rolling-shutter,HISTCMP_CHISQR,GRAY,5,1.0,0.8181818181818182,0.9,9,0,2,39,0.010019606096556714
rolling-shutter\rolling-shutter.mp4,rolling-shutter,HISTCMP_CHISQR,HSV,1,0.22448979591836735,1.0,0.36666666666666664,11,38,0,1,0.018117252593477393
rolling-shutter\rolling-shutter.mp4,rolling-shutter,HISTCMP_CHISQR,HSV,3,0.23404255319148937,1.0,0.3793103448275862,11,36,0,3,0.018117252593477393
rolling-shutter\rolling-shutter.mp4,rolling-shutter,HISTCMP_CHISQR,HSV,5,0.24444444444444444,1.0,0.39285714285714285,11,34,0,5,0.018117252593477393
rolling-shutter\rolling-shutter.mp4,rolling-shutter,HISTCMP_CHISQR,RGB,1,0.22916666666666666,1.0,0.3728813559322034,11,37,0,2,0.019016037001242186
rolling-shutter\rolling-shutter.mp4,rolling-shutter,HISTCMP_CHISQR,RGB,3,0.25,1.0,0.4,11,33,0,6,0.019016037001242186
rolling-shutter\rolling-shutter.mp4,rolling-shutter,HISTCMP_CHISQR,RGB,5,0.275,1.0,0.43137254901960786,11,29,0,10,0.019016037001242186
rolling-shutter\rolling-shutter.mp4,rolling-shutter,HISTCMP_BHATTACHARYYA,GRAY,1,0.5714285714285714,0.36363636363636365,0.4444444444444444,4,3,7,36,0.08975821162156278
rolling-shutter\rolling-shutter.mp4,rolling-shutter,HISTCMP_BHATTACHARYYA,GRAY,3,0.6363636363636364,0.6363636363636364,0.6363636363636364,7,4,4,35,0.030868669497792014
rolling-shutter\rolling-shutter.mp4,rolling-shutter,HISTCMP_BHATTACHARYYA,GRAY,5,0.6923076923076923,0.8181818181818182,0.75,9,4,2,35,0.02550303922645241
